pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
4097375,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
7703867,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
1602893,1,9,1,1,2,1,2,0,0,5,2,2,9,0,0,0
1686747,2,9,1,1,2,1,2,0,0,56,25,2,9,0,0,0
4361266,2,9,1,1,2,1,2,0,0,0,0,2,9,0,0,0
6313648,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
3438510,2,9,2,1,2,1,2,98,0,30,12,2,9,0,0,0
1480412,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6419027,2,9,1,1,1,1,1,52,20,10,0,2,9,0,0,0
9212632,2,9,2,1,1,2,2,0,0,0,0,2,9,0,50000,50000
9448856,2,9,2,1,2,2,2,0,0,0,0,2,9,0,0,0
5458260,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
8753507,2,9,2,1,2,2,2,0,0,0,0,2,9,0,25000,25000
8380137,2,9,2,1,2,2,2,0,0,0,0,2,9,0,50000,50000
7813958,0,9,2,2,2,2,2,0,0,0,0,9,2,0,0,0
3701468,2,9,1,1,1,1,1,44,2,41,1,1,9,0,54000,54000
9494530,0,9,2,2,2,2,2,0,0,0,0,1,1,0,0,0
1442297,2,9,2,2,2,2,2,0,0,0,0,1,9,0,0,0
4326909,2,9,1,1,1,2,2,0,0,0,0,1,9,0,25000,25000
6076572,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
2472145,2,9,1,1,1,2,2,0,0,0,0,2,9,0,50000,50000
1255556,2,9,2,1,2,1,2,0,0,0,0,2,9,0,0,0
4648801,2,9,1,1,1,1,1,10,0,8,2,1,9,0,50000,50000
3823334,2,9,2,1,1,2,2,25,20,5,0,1,9,0,30000,30000
5360782,2,9,1,1,1,2,2,0,0,0,0,2,9,0,0,0
2923187,2,9,1,1,1,2,2,17,0,13,4,2,9,0,50000,50000
1446405,0,9,1,2,2,1,2,29,0,23,6,2,1,6,725000,725000
8220114,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4689417,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1992959,2,9,1,1,1,2,2,0,0,55,0,1,9,0,50000,50000
6538314,2,9,1,1,2,2,2,99,0,0,4,1,9,12,0,0
9474635,2,9,1,1,2,2,2,99,0,0,4,1,9,12,0,0
5665832,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
9278912,2,9,2,1,2,2,2,20,10,10,0,1,9,8,50000,50000
3332914,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
4422781,2,9,1,1,1,1,1,0,0,0,0,2,9,0,0,0
3729072,2,9,2,1,1,2,2,0,0,0,0,2,9,0,50000,50000
3016447,2,9,1,1,1,1,1,10,0,0,0,1,9,0,1100000,1100000
9257483,2,9,2,1,2,1,2,0,0,12,0,1,9,0,75000,75000
7046860,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6039777,2,9,1,1,1,2,2,70,0,10,2,1,9,9,0,0
6198556,2,9,1,1,1,1,1,0,0,0,0,1,9,0,0,0
6506534,2,9,1,1,2,1,2,15,0,13,2,1,9,12,0,0
6087085,2,9,1,1,1,2,2,12,0,10,2,2,9,0,50000,50000
1438589,2,9,1,1,1,1,1,0,0,0,0,2,9,0,0,0
